Code,Company,Sector
IVC,Invocare Limited,Consumer Services
JBH,JB Hi-fi Limited,Retailing
JHC,Japara Healthcare Limited,Health Care Equipment & Services
JHX,James Hardie Industries PLC Cdi 1:1,Materials
KAR,Karoon Gas Australia Limited,Energy
KCN,KINGSGATE CONSOLIDATED LIMITED.,Materials
KMD,KATHMANDU HOLDINGS LIMITED,Retailing
KZL,NULL,NULL
LEI,NULL,NULL
LLC,Lend Lease Group Stapled,Real Estate
LLC,Lend Lease Group Stapled,Real Estate
LLC,Lendlease Group Stapled,Real Estate
LLC,Lendlease Group Stapled,Real Estate
LNC,NULL,NULL
LNG,Liquefied Natural Gas Limited,Energy
LNK,Link Administration Holdings Limited,Software & Services
LYC,LYNAS CORPORATION LIMITED,Materials
MAD,NULL,NULL
MAH,MACMAHON HOLDINGS LIMITED,Capital Goods
MBN,NULL,NULL
MDL,MINERAL DEPOSITS LIMITED,Materials
MFG,Magellan Financial Group Limited,Diversified Financials
MGR,Mirvac Group Stapled,Real Estate
MGR,Mirvac Group Stapled,Real Estate
MGX,MOUNT GIBSON IRON LIMITED,Materials
MIN,Mineral Resources Limited,Materials
MIN,Mineral Resources Limited,Materials
MML,MEDUSA MINING LIMITED,Materials
MMS,Mcmillan Shakespeare Limited,Commercial & Professional Services
MND,Monadelphous Group Limited,Capital Goods
MPL,Medibank Private Limited,Insurance
MQA,Macquarie Atlas Roads Group Stapled,Transportation
MQG,Macquarie Group Limited,Diversified Financials
MQGDA,NULL,NULL
MRM,MMA OFFSHORE LIMITED,Transportation
MSB,Mesoblast Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
MTR,Mantra Group Limited,Consumer Services
MTS,Metcash Limited,Food & Staples Retailing
MTU,M2 Group LTD,Telecommunication Services
MYO,Myob Group Limited,Software & Services
MYR,Myer Holdings Limited,Retailing
MYX,Mayne Pharma Group Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
NAB,National Australia Bank Limited,Banks
NAN,Nanosonics Limited,Health Care Equipment & Services
NCM,Newcrest Mining Limited,Materials
NEC,Nine Entertainment Co. Holdings Limited,Media
NNC,NULL,NULL
NSR,National Storage Reit Stapled,Real Estate
NSR,National Storage Reit Stapled,Real Estate
NST,Northern Star Resources LTD,Materials
NUF,Nufarm Limited,Materials
NVN,NULL,NULL
NVT,Navitas Limited,Consumer Services
NWH,NRW HOLDINGS LIMITED,Capital Goods
NWS,News Corporation. B Voting,Media
NXT,Nextdc Limited,Software & Services
OFX,OFX Group Limited,Diversified Financials
OFX,Ozforex Group Limited,Diversified Financials
OGC,OCEANAGOLD CORPORATION,Materials
ORA,Orora Limited,Materials
ORE,Orocobre Limited,Materials
ORG,Origin Energy Limited,Energy
ORI,Orica Limited,Materials
OSH,Oil Search Limited 10T,Energy
OST,NULL,NULL
OZL,Oz Minerals Limited,Materials
PAN,PANORAMIC RESOURCES LIMITED,Materials
PBG,Pacific Brands Limited,Consumer Discretionary
PDN,Paladin Energy LTD,Energy
PGH,Pact Group Holdings LTD,Materials
PMV,Premier Investments Limited,Retailing
PNA,NULL,NULL
PPT,Perpetual Limited,Diversified Financials
PRG,Programmed Maintenance Services Limited,Commercial & Professional Services
PRU,PERSEUS MINING LIMITED,Materials
PRY,Primary Health Care Limited,Health Care Equipment & Services
PTM,Platinum Asset Management Limited,Diversified Financials
QAN,Qantas Airways Limited,Transportation
QANDA,Qantas Ordinary Fully Paid Deferred Settlement,Industrials
QBE,QBE Insurance Group Limited,Insurance
QRN,NULL,NULL
QUB,Qube Holdings Limited,Transportation
REA,REA Group LTD,Media
REC,Recall Holdings Limited,Industrials
REG,Regis Healthcare Limited,Health Care Equipment & Services
RFG,Retail Food Group Limited,Consumer Services
RHC,Ramsay Health Care Limited,Health Care Equipment & Services
RIO,RIO Tinto Limited,Materials
RMD,Resmed Inc Cdi 10:1,Health Care Equipment & Services
RMS,RAMELIUS RESOURCES LIMITED,Materials
RRL,Regis Resources Limited,Materials
RSG,Resolute Mining Limited,Materials
RWC,Reliance Worldwide Corporation Limited,Capital Goods
S32,SOUTH32 Limited,Materials
SAI,SAI Global Limited,Industrials
SAR,Saracen Mineral Holdings Limited,Materials
SBM,ST Barbara Limited,Materials
SCG,Scentre Group Stapled,Real Estate
SCG,Scentre Group Stapled,Real Estate
SCP,Shopping Centres Australasia Property Group Stapled,Real Estate
SCP,Shopping Centres Australasia Property Group Stapled,Real Estate
SDF,Steadfast Group Limited,Insurance
SDL,SUNDANCE RESOURCES LIMITED,Materials
SEA,SUNDANCE ENERGY AUSTRALIA LIMITED,Energy
SEK,Seek Limited,Commercial & Professional Services
SFR,Sandfire Resources NL,Materials
SGH,Slater & Gordon Limited,Consumer Services
SGM,Sims Metal Management Limited,Materials
SGN,NULL,NULL
SGP,Stockland Stapled,Real Estate
SGP,Stockland Stapled,Real Estate
SGR,The Star Entertainment Group Limited,Consumer Services
SGT,NULL,NULL
SHL,Sonic Healthcare Limited,Health Care Equipment & Services
SHV,Select Harvests Limited,"Food, Beverage & Tobacco"
SIG,Sigma Healthcare Limited,Health Care Equipment & Services
SIP,Sigma Pharmaceuticals Limited,Health Care
SIR,NULL,NULL
SKC,Skycity Entertainment Group Limited NZ,Consumer Services
SKC,Skycity Entertainment Group Limited NZX,Consumer Services
SKE,NULL,NULL
SKI,Spark Infrastructure Group Forus,Utilities
SKT,SKY Network Television Limited NZ,Media
SLR,SILVER LAKE RESOURCES LIMITED,Materials
SMX,SMS MANAGEMENT & TECHNOLOGY LIMITED.,Software & Services
SPK,Spark New Zealand Limited NZ,Telecommunication Services
SPK,Spark New Zealand Limited NZX,Telecommunication Services
SPN,NULL,NULL
SPO,Spotless Group Holdings Limited,Commercial & Professional Services
SPT,NULL,NULL
SRX,Sirtex Medical Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
STO,Santos Limited,Energy
SUL,Super Retail Group Limited,Retailing
SUN,Suncorp Group Limited,Insurance
SVW,Seven Group Holdings Limited,Capital Goods
SWM,Seven West Media Limited,Media
SXL,Southern Cross Media Group Limited,Media
SXY,SENEX ENERGY LIMITED,Energy
SYD,Sydney Airport Forus,Transportation
SYR,Syrah Resources Limited,Materials
TAH,Tabcorp Holdings Limited,Consumer Services
TCL,Transurban Group Stapled,Transportation
TEL,NULL,NULL
TEN,TEN Network Holdings Limited,Media
TGR,Tassal Group Limited,"Food, Beverage & Tobacco"
TLS,Telstra Corporation Limited,Telecommunication Services
TME,Trade Me Group Limited NZ,Retailing
TME,Trade Me Group Limited NZX,Retailing
TNE,Technology One Limited,Software & Services
TOL,NULL,NULL
TPI,Transpacific Industries Group LTD,Industrials
TPM,TPG Telecom Limited,Telecommunication Services
TRS,THE REJECT SHOP LIMITED,Retailing
TRY,TROY RESOURCES LIMITED,Materials
TSE,Transfield Services Limited,Industrials
TTS,Tatts Group Limited,Consumer Services
TWE,Treasury Wine Estates Limited,"Food, Beverage & Tobacco"
UGL,NULL,NULL
VAH,VIRGIN AUSTRALIA HOLDINGS LIMITED,Transportation
VCX,Vicinity Centres Stapled,Real Estate
VCX,Vicinity Centres Stapled,Real Estate
VED,Veda Group Limited,Industrials
VOC,Vocus Communications Limited,Telecommunication Services
VOC,Vocus Group Limited,Telecommunication Services
VRL,Village Roadshow Limited,Media
VRT,Virtus Health Limited,Health Care Equipment & Services
VVR,Viva Energy Reit Stapled,Real Estate
WBC,Westpac Banking Corporation,Banks
WDC,NULL,NULL
WEB,Webjet Limited,Retailing
WEC,WHITE ENERGY COMPANY LIMITED,Energy
WES,Wesfarmers Limited,Food & Staples Retailing
WFD,Westfield Corporation Stapled,Real Estate
WFD,Westfield Corporation Stapled,Real Estate
WHC,Whitehaven Coal Limited,Energy
WOR,Worleyparsons Limited,Energy
WOW,Woolworths Limited,Food & Staples Retailing
WPL,Woodside Petroleum Limited,Energy
WRT,NULL,NULL
WSA,Western Areas Limited,Materials
WTF,NULL,NULL
